city,city_ascii,state_id,state_name,county_fips,county_name
New York,New York,NY,New York,36061,New York
Los Angeles,Los Angeles,CA,California,6037,Los Angeles
Chicago,Chicago,IL,Illinois,17031,Cook
Miami,Miami,FL,Florida,12086,Miami-Dade
Dallas,Dallas,TX,Texas,48113,Dallas
Philadelphia,Philadelphia,PA,Pennsylvania,42101,Philadelphia
Houston,Houston,TX,Texas,48201,Harris
Atlanta,Atlanta,GA,Georgia,13121,Fulton
Washington,Washington,DC,District of Columbia,11001,District of Columbia
Boston,Boston,MA,Massachusetts,25025,Suffolk
Phoenix,Phoenix,AZ,Arizona,4013,Maricopa
Seattle,Seattle,WA,Washington,53033,King
San Francisco,San Francisco,CA,California,6075,San Francisco
Detroit,Detroit,MI,Michigan,26163,Wayne
San Diego,San Diego,CA,California,6073,San Diego
Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin
Tampa,Tampa,FL,Florida,12057,Hillsborough
Denver,Denver,CO,Colorado,8031,Denver
Brooklyn,Brooklyn,NY,New York,36047,Kings
Queens,Queens,NY,New York,36081,Queens
Riverside,Riverside,CA,California,6065,Riverside
Baltimore,Baltimore,MD,Maryland,24510,Baltimore
Las Vegas,Las Vegas,NV,Nevada,32003,Clark
Portland,Portland,OR,Oregon,41051,Multnomah
San Antonio,San Antonio,TX,Texas,48029,Bexar
St. Louis,St. Louis,MO,Missouri,29510,St. Louis
Sacramento,Sacramento,CA,California,6067,Sacramento
Orlando,Orlando,FL,Florida,12095,Orange
San Jose,San Jose,CA,California,6085,Santa Clara
Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga
Pittsburgh,Pittsburgh,PA,Pennsylvania,42003,Allegheny
Austin,Austin,TX,Texas,48453,Travis
Cincinnati,Cincinnati,OH,Ohio,39061,Hamilton
Kansas City,Kansas City,MO,Missouri,29095,Jackson
Manhattan,Manhattan,NY,New York,36061,New York
Indianapolis,Indianapolis,IN,Indiana,18097,Marion
Columbus,Columbus,OH,Ohio,39049,Franklin
Charlotte,Charlotte,NC,North Carolina,37119,Mecklenburg
Virginia Beach,Virginia Beach,VA,Virginia,51810,Virginia Beach
Bronx,Bronx,NY,New York,36005,Bronx
Milwaukee,Milwaukee,WI,Wisconsin,55079,Milwaukee
Providence,Providence,RI,Rhode Island,44007,Providence
Jacksonville,Jacksonville,FL,Florida,12031,Duval
Salt Lake City,Salt Lake City,UT,Utah,49035,Salt Lake
Nashville,Nashville,TN,Tennessee,47037,Davidson
Richmond,Richmond,VA,Virginia,51760,Richmond
Memphis,Memphis,TN,Tennessee,47157,Shelby
Raleigh,Raleigh,NC,North Carolina,37183,Wake
New Orleans,New Orleans,LA,Louisiana,22071,Orleans
Louisville,Louisville,KY,Kentucky,21111,Jefferson
Oklahoma City,Oklahoma City,OK,Oklahoma,40109,Oklahoma
Bridgeport,Bridgeport,CT,Connecticut,9001,Fairfield
Buffalo,Buffalo,NY,New York,36029,Erie
Fort Worth,Fort Worth,TX,Texas,48439,Tarrant
Hartford,Hartford,CT,Connecticut,9003,Hartford
Tucson,Tucson,AZ,Arizona,4019,Pima
Omaha,Omaha,NE,Nebraska,31055,Douglas
El Paso,El Paso,TX,Texas,48141,El Paso
Honolulu,Honolulu,HI,Hawaii,15003,Honolulu
McAllen,McAllen,TX,Texas,48215,Hidalgo
Albuquerque,Albuquerque,NM,New Mexico,35001,Bernalillo
Birmingham,Birmingham,AL,Alabama,1073,Jefferson
Sarasota,Sarasota,FL,Florida,12115,Sarasota
Dayton,Dayton,OH,Ohio,39113,Montgomery
Rochester,Rochester,NY,New York,36055,Monroe
Fresno,Fresno,CA,California,6019,Fresno
Allentown,Allentown,PA,Pennsylvania,42077,Lehigh
Tulsa,Tulsa,OK,Oklahoma,40143,Tulsa
Cape Coral,Cape Coral,FL,Florida,12071,Lee
Concord,Concord,CA,California,6013,Contra Costa
Colorado Springs,Colorado Springs,CO,Colorado,8041,El Paso
Charleston,Charleston,SC,South Carolina,45019,Charleston
Springfield,Springfield,MA,Massachusetts,25013,Hampden
Grand Rapids,Grand Rapids,MI,Michigan,26081,Kent
Mission Viejo,Mission Viejo,CA,California,6059,Orange
Albany,Albany,NY,New York,36001,Albany
Knoxville,Knoxville,TN,Tennessee,47093,Knox
Bakersfield,Bakersfield,CA,California,6029,Kern
Ogden,Ogden,UT,Utah,49057,Weber
Baton Rouge,Baton Rouge,LA,Louisiana,22033,East Baton Rouge
Akron,Akron,OH,Ohio,39153,Summit
New Haven,New Haven,CT,Connecticut,9009,New Haven
Columbia,Columbia,SC,South Carolina,45079,Richland
Mesa,Mesa,AZ,Arizona,4013,Maricopa
Palm Bay,Palm Bay,FL,Florida,12009,Brevard
Provo,Provo,UT,Utah,49049,Utah
Worcester,Worcester,MA,Massachusetts,25027,Worcester
Murrieta,Murrieta,CA,California,6065,Riverside
Greenville,Greenville,SC,South Carolina,45045,Greenville
Wichita,Wichita,KS,Kansas,20173,Sedgwick
Toledo,Toledo,OH,Ohio,39095,Lucas
Staten Island,Staten Island,NY,New York,36085,Richmond
Des Moines,Des Moines,IA,Iowa,19153,Polk
Long Beach,Long Beach,CA,California,6037,Los Angeles
Port St. Lucie,Port St. Lucie,FL,Florida,12111,St. Lucie
Denton,Denton,TX,Texas,48121,Denton
Madison,Madison,WI,Wisconsin,55025,Dane
Reno,Reno,NV,Nevada,32031,Washoe
Harrisburg,Harrisburg,PA,Pennsylvania,42043,Dauphin
Little Rock,Little Rock,AR,Arkansas,5119,Pulaski
Oakland,Oakland,CA,California,6001,Alameda
Durham,Durham,NC,North Carolina,37063,Durham
Winston-Salem,Winston-Salem,NC,North Carolina,37067,Forsyth
Bonita Springs,Bonita Springs,FL,Florida,12071,Lee
Indio,Indio,CA,California,6065,Riverside
Palm Coast,Palm Coast,FL,Florida,12035,Flagler
Chattanooga,Chattanooga,TN,Tennessee,47065,Hamilton
Spokane,Spokane,WA,Washington,53063,Spokane
Syracuse,Syracuse,NY,New York,36067,Onondaga
Lancaster,Lancaster,PA,Pennsylvania,42071,Lancaster
Arlington,Arlington,TX,Texas,48439,Tarrant
Stockton,Stockton,CA,California,6077,San Joaquin
Poughkeepsie,Poughkeepsie,NY,New York,36027,Dutchess
Augusta,Augusta,GA,Georgia,13245,Richmond
Boise,Boise,ID,Idaho,16001,Ada
Oxnard,Oxnard,CA,California,6111,Ventura
Scranton,Scranton,PA,Pennsylvania,42069,Lackawanna
Modesto,Modesto,CA,California,6099,Stanislaus
Kissimmee,Kissimmee,FL,Florida,12097,Osceola
Aurora,Aurora,CO,Colorado,8001,Adams
Youngstown,Youngstown,OH,Ohio,39099,Mahoning
Fayetteville,Fayetteville,AR,Arkansas,5143,Washington
Anaheim,Anaheim,CA,California,6059,Orange
Pensacola,Pensacola,FL,Florida,12033,Escambia
Victorville,Victorville,CA,California,6071,San Bernardino
Lancaster,Lancaster,CA,California,6037,Los Angeles
Greensboro,Greensboro,NC,North Carolina,37081,Guilford
Corpus Christi,Corpus Christi,TX,Texas,48355,Nueces
Fort Wayne,Fort Wayne,IN,Indiana,18003,Allen
Santa Ana,Santa Ana,CA,California,6059,Orange
Flint,Flint,MI,Michigan,26049,Genesee
Fayetteville,Fayetteville,NC,North Carolina,37051,Cumberland
Jackson,Jackson,MS,Mississippi,28049,Hinds
Santa Rosa,Santa Rosa,CA,California,6097,Sonoma
Lansing,Lansing,MI,Michigan,26065,Ingham
San Juan,San Juan,PR,Puerto Rico,72127,San Juan
Lexington,Lexington,KY,Kentucky,21067,Fayette
Ann Arbor,Ann Arbor,MI,Michigan,26161,Washtenaw
Henderson,Henderson,NV,Nevada,32003,Clark
Huntsville,Huntsville,AL,Alabama,1089,Madison
Mobile,Mobile,AL,Alabama,1097,Mobile
Fort Collins,Fort Collins,CO,Colorado,8069,Larimer
Asheville,Asheville,NC,North Carolina,37021,Buncombe
Santa Clarita,Santa Clarita,CA,California,6037,Los Angeles
St. Paul,St. Paul,MN,Minnesota,27123,Ramsey
Antioch,Antioch,CA,California,6013,Contra Costa
Lakeland,Lakeland,FL,Florida,12105,Polk
Trenton,Trenton,NJ,New Jersey,34021,Mercer
Lincoln,Lincoln,NE,Nebraska,31109,Lancaster
Springfield,Springfield,MO,Missouri,29077,Greene
Anchorage,Anchorage,AK,Alaska,2020,Anchorage
Plano,Plano,TX,Texas,48085,Collin
Irvine,Irvine,CA,California,6059,Orange
