CensusId,State,County,TotalPop,Men,Women,White,Black,Hispanic,Asian,IncomePerCap,Unemployment,HasWholefoods
1001,Alabama,Autauga,55221,26745,28476,75.8,18.5,2.6,1,24974,7.6,0
1003,Alabama,Baldwin,195121,95314,99807,83.1,9.5,4.5,0.7,27317,7.5,0
1005,Alabama,Barbour,26932,14497,12435,46.2,46.7,4.6,0.4,16824,17.6,0
1007,Alabama,Bibb,22604,12073,10531,74.5,21.4,2.2,0.1,18431,8.3,0
1009,Alabama,Blount,57710,28512,29198,87.9,1.5,8.6,0.1,20532,7.7,0
1011,Alabama,Bullock,10678,5660,5018,22.2,70.7,4.4,0.2,17580,18,0
1013,Alabama,Butler,20354,9502,10852,53.3,43.8,1.2,0.4,18390,10.9,0
1015,Alabama,Calhoun,116648,56274,60374,73,20.3,3.5,0.9,21374,12.3,0
1017,Alabama,Chambers,34079,16258,17821,57.3,40.3,0.4,0.8,21071,8.9,0
1019,Alabama,Cherokee,26008,12975,13033,91.7,4.8,1.5,0.3,21811,7.9,0
1021,Alabama,Chilton,43819,21619,22200,80.5,10.2,7.6,0.3,21399,9.1,0
1023,Alabama,Choctaw,13395,6382,7013,55.9,42.9,0.4,0,20755,13.6,0
1025,Alabama,Clarke,25070,11834,13236,53.4,45.3,0.3,0.4,20064,19.4,0
1027,Alabama,Clay,13537,6671,6866,79.9,14.4,3.2,0,18905,9.4,0
1029,Alabama,Cleburne,15002,7334,7668,92.5,2.9,2.3,0.4,20151,8.3,0
1031,Alabama,Coffee,50884,25174,25710,71.5,17.2,6.4,1.2,24936,7.1,0
1033,Alabama,Colbert,54444,26303,28141,78.9,15.6,2.4,0.3,22546,9,0
1035,Alabama,Conecuh,12865,6176,6689,51,44.7,1.6,0,15968,22.6,0
1037,Alabama,Coosa,11027,5579,5448,65.2,30.7,2.1,0,17519,17,0
1039,Alabama,Covington,37886,18339,19547,83.3,13,1.5,0.3,20977,11.2,0
1041,Alabama,Crenshaw,13938,6863,7075,70.5,23.5,1.7,1.8,20585,9.7,0
1043,Alabama,Cullman,80965,40081,40884,92.2,1.1,4.3,0.6,20881,7.3,0
1045,Alabama,Dale,49866,24708,25158,69.8,19.4,6,1.2,22566,10.9,0
1047,Alabama,Dallas,42154,19450,22704,28.6,69.2,0.3,0.3,17808,16.4,0
1049,Alabama,DeKalb,71068,35474,35594,80.9,1.8,14,0.3,18411,7.7,0
1051,Alabama,Elmore,80763,39362,41401,73.6,21,2.8,0.5,24381,8.3,0
1053,Alabama,Escambia,37935,19524,18411,60.7,33.4,1.2,0.1,17045,15.6,0
1055,Alabama,Etowah,103766,50207,53559,78.5,15.4,3.6,0.7,20500,9,0
1057,Alabama,Fayette,16896,8477,8419,85.3,12,0.7,0.4,19545,10,0
1059,Alabama,Franklin,31634,15311,16323,78.5,4.1,15.7,0.1,18595,9.8,0
1061,Alabama,Geneva,26815,13174,13641,84,8.7,3.6,1.2,20224,11.2,0
1063,Alabama,Greene,8697,4095,4602,17.8,80.6,0.7,0.2,13611,20.4,0
1065,Alabama,Hale,15256,7183,8073,40,58.2,1.1,0.3,18877,13.3,0
1067,Alabama,Henry,17252,8259,8993,68.3,28.4,2.5,0,22931,8.1,0
1069,Alabama,Houston,103534,49563,53971,67.7,26.2,3.2,0.8,23925,8.3,0
